price,rating,processor,cpu cores,processor speed,ram,storage,memory card support,os,display size,display resolution,refresh rate,rear camera,front camera,battery,charging speed,wireless charging,reverse charging,charging port,sim slots,network support,nfc
"₹74,999",82.0,Bionic A15,Hexa Core,3.22 GHz Processor,6 GB RAM,128 GB inbuilt,No,iOS v16,6.7 inches,1284 x 2778 px Display with Small Notch,Not specified,12 MP + 12 MP Dual Rear,12 MP Front Camera,4325 mAh,Fast Charging,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC",Yes
"₹10,999",78.0,Helio G95,Octa Core,2.05 GHz Processor,6 GB RAM,64 GB inbuilt,Yes,Android v11,6.43 inches,1080 x 2400 px Display with Punch Hole,Not specified,64 MP Quad Rear,13 MP Front Camera,5000 mAh,33W Fast Charging,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, IR Blaster",No
"₹84,990",89.0,Snapdragon 8 Gen2,Octa Core,3.2 GHz Processor,8 GB RAM,256 GB inbuilt,Yes,No FM Radio,6.6 inches,1080 x 2340 px,120 Hz Display with Punch Hole,50 MP + 12 MP + 10 MP Triple Rear,12 MP Front Camera,4700 mAh,45W Fast Charging,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC",Yes
"₹10,499",75.0,Snapdragon 680,Octa Core,2.4 GHz Processor,4 GB RAM,64 GB inbuilt,Yes,Android v12,6.55 inches,1080 x 2400 px,90 Hz Display with Punch Hole,50 MP + 8 MP + 2 MP Triple Rear,16 MP Front Camera,5000 mAh,33W Fast Charging,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi",No
"₹17,990",78.0,Dimensity 720,Octa Core,2 GHz Processor,6 GB RAM,128 GB inbuilt,Yes,Bluetooth,6.67 inches,1080 x 2460 px,120 Hz Display with Punch Hole,108 MP + 8 MP + 2 MP Triple Rear,16 MP Front Camera,5000 mAh,67W Fast Charging,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster",Yes
"₹29,990",85.0,Snapdragon 870,Octa Core,3.2 GHz Processor,8 GB RAM,128 GB inbuilt,Yes,No FM Radio,6.78 inches,1080 x 2400 px,120 Hz Display with Punch Hole,64 MP + 8 MP + 2 MP Triple Rear,50 MP Front Camera,4600 mAh,66W Fast Charging,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC",Yes
"₹18,499",79.0,Snapdragon  680,Octa Core,2.4 GHz Processor,6 GB RAM,128 GB inbuilt,Yes,Android v12,6.6 inches,1080 x 2408 px Display with Water Drop Notch,Not specified,50 MP Quad Rear,8 MP Front Camera,5000 mAh,25W Fast Charging,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi",No
"₹16,499",75.0,Helio G70,Octa Core,2 GHz Processor,6 GB RAM,128 GB inbuilt,Yes,Android v12,6.55 inches,720 x 1612 px Display with Water Drop Notch,Not specified,50 MP + 2 MP Dual Rear,8 MP Front Camera,5000 mAh,18W Fast Charging,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi",No
"₹14,999",81.0,Dimensity  810 5G,Octa Core,2.4 GHz Processor,6 GB RAM,128 GB inbuilt,Yes,Android v11,6.6 inches,1080 x 2400 px,90 Hz Display with Punch Hole,50 MP + 8 MP Dual Rear,16 MP Front Camera,5000 mAh,33W Fast Charging,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster",No
"₹35,499",86.0,Dimensity 8200,Octa Core,3.1 GHz Processor,8 GB RAM,256 GB inbuilt,Yes,No FM Radio,6.78 inches,1080 x 2400 px,120 Hz Display with Punch Hole,50 MP + 8 MP + 2 MP Triple Rear,50 MP Front Camera,4600 mAh,66W Fast Charging,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC",Yes
"₹60,999",89.0,Snapdragon  8 Gen1,Octa Core,3 GHz Processor,8 GB RAM,128 GB inbuilt,Yes,No FM Radio,6.7 inches,1440 x 3216 px,120 Hz Display with Punch Hole,50 MP + 48 MP + 8 MP Triple Rear,32 MP Front Camera,5000 mAh,80W Fast Charging,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC",Yes
"₹32,999",87.0,Dimensity 1080,Octa Core,2.6 GHz Processor,12 GB RAM,256 GB inbuilt,No,Android v12,6.67 inches,1080 x 2400 px,120 Hz Display with Punch Hole,200 MP + 8 MP + 2 MP Triple Rear,16 MP Front Camera,4980 mAh,120W Fast Charging,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster",No
