price,rating,processor,cpu cores,processor speed,gpu,ram,ram type,storage,storage type,memory card support,os,ui,display size,display type,display resolution,refresh rate,touch sampling rate,hdr support,rear camera,rear camera sensor,rear camera features,front camera,video recording,battery,charging speed,charging type,wireless charging,reverse charging,charging port,sim slots,network support,wifi,bluetooth,nfc,gps,fingerprint sensor,face unlock,stereo speakers,dolby atmos,3.5mm jack,build material,weight,ip rating,haptics,notification led,cooling system,bloatware
"₹19,999",84.0,Snapdragon 695,Octa Core,2.2 GHz Processor,Not specified,8 GB RAM,Not specified,128 GB inbuilt,Not specified,Yes,Android v13,Not specified,6.72 inches,Not specified,1080 x 2400 px,120 Hz Display with Punch Hole,Not specified,Not specified,108 MP + 2 MP Dual Rear,Not specified,Not specified,16 MP Front Camera,Not specified,5000 mAh,33W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi",Not specified,Not specified,No,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹20,999",81.0,Snapdragon 778G,Octa Core,2.4 GHz Processor,Not specified,6 GB RAM,Not specified,128 GB inbuilt,Not specified,No,Android v13,Not specified,6.67 inches,Not specified,1080 x 2400 px,120 Hz Display with Punch Hole,Not specified,Not specified,108 MP + 8 MP + 2 MP Triple Rear,Not specified,Not specified,16 MP Front Camera,Not specified,5000 mAh,67W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster",Not specified,Not specified,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹27,990",83.0,Dimensity  930,Octa Core,2.2 GHz Processor,Not specified,8 GB RAM,Not specified,256 GB inbuilt,Not specified,Yes,Android v13,Not specified,6.56 inches,Not specified,1080 x 2400 px,120 Hz Display with Punch Hole,Not specified,Not specified,64 MP + 13 MP + 2 MP Triple Rear,Not specified,Not specified,50 MP Front Camera,Not specified,4700 mAh,67W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi",Not specified,Not specified,No,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹38,999",73.0,A13 Bionic,Hexa Core,2.65 GHz Processor,Not specified,4 GB RAM,Not specified,64 GB inbuilt,Not specified,No,iOS v13,Not specified,6.1 inches,Not specified,828 x 1792 px Display with Large Notch,Not specified,Not specified,Not specified,12 MP + 12 MP Dual Rear,Not specified,Not specified,12 MP Front Camera,Not specified,3110 mAh,Not specified,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, NFC",Not specified,Not specified,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹23,790",85.0,Dimensity  900 5G,Octa Core,2.4 GHz Processor,Not specified,6 GB RAM,Not specified,128 GB inbuilt,Not specified,Yes,Android v12,Not specified,6.7 inches,Not specified,1080 x 2400 px,120 Hz Display with Punch Hole,Not specified,Not specified,108 MP Quad Rear,Not specified,Not specified,32 MP Front Camera,Not specified,5000 mAh,25W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi",Not specified,Not specified,No,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹39,999",87.0,Exynos  2100,Octa Core,2.9 GHz Processor,Not specified,8 GB RAM,Not specified,128 GB inbuilt,Not specified,No,Android v11,Not specified,6.4 inches,Not specified,1080 x 2340 px,120 Hz Display with Punch Hole,Not specified,Not specified,12 MP + 12 MP + 8 MP Triple Rear,Not specified,Not specified,32 MP Front Camera,Not specified,4500 mAh,25W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC",Not specified,Not specified,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹29,990",87.0,Snapdragon  695,Octa Core,2.2 GHz Processor,Not specified,8 GB RAM,Not specified,256 GB inbuilt,Not specified,Yes,Android v13,Not specified,6.67 inches,Not specified,1080 x 2400 px,120 Hz Display with Punch Hole,Not specified,Not specified,108 MP + 13 MP + 2 MP Triple Rear,Not specified,Not specified,16 MP Front Camera,Not specified,5000 mAh,66W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC",Not specified,Not specified,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹91,999",Not specified,Snapdragon  8 Gen1,Octa Core,3 GHz Processor,Not specified,12 GB RAM,Not specified,256 GB inbuilt,Not specified,Yes,Bluetooth,Not specified,6.8 inches,Not specified,1440 x 3080 px,120 Hz Display with Punch Hole,Not specified,Not specified,108 MP Quad Rear,Not specified,Not specified,40 MP Front Camera,Not specified,5000 mAh,45W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC",Not specified,Not specified,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹32,999",83.0,Snapdragon  7 Gen1,Octa Core,2.36 GHz Processor,Not specified,6 GB RAM,Not specified,128 GB inbuilt,Not specified,Yes,Android v12,Not specified,6.67 inches,Not specified,1080 x 2460 px,120 Hz Display with Punch Hole,Not specified,Not specified,108 MP Quad Rear,Not specified,Not specified,32 MP Front Camera,Not specified,5200 mAh,210W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster",Not specified,Not specified,No,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
"₹28,499",83.0,Snapdragon 778G,Octa Core,2.4 GHz Processor,Not specified,8 GB RAM,Not specified,256 GB inbuilt,Not specified,Yes,No FM Radio,Not specified,6.7 inches,Not specified,1080 x 2412 px,120 Hz Display with Punch Hole,Not specified,Not specified,64 MP + 2 MP Dual Rear,Not specified,Not specified,32 MP Front Camera,Not specified,4500 mAh,67W Fast Charging,Not specified,No,No,USB Type-C,Dual SIM,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC",Not specified,Not specified,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified
